YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,VOTES,ELECTORS,VOTERS,VALID VOTES
1991,ROYAPURAM, D. JAYAKUMAR,W,ADMK,M,46218,133943,79579,78278
1991,ROYAPURAM,R. MATHIVANAN,N,DMK,M,29565,133943,79579,78278
1991,ROYAPURAM,T.S. PERUMAL,N,PMK,M,1278,133943,79579,78278
1991,ROYAPURAM,V. NARASIMMAN,N,BJP,M,857,133943,79579,78278
1991,ROYAPURAM,N. PANDIAN,N,IND,M,120,133943,79579,78278
1991,ROYAPURAM,R. KRISHNAMOORTHY,N,TMM,M,98,133943,79579,78278
1991,ROYAPURAM,B. ETHIRAJ,N,IND,M,51,133943,79579,78278
1991,ROYAPURAM,R. VENKATESWARAN,N,IND,M,48,133943,79579,78278
1991,ROYAPURAM,D. NATARAJAN,N,IND,M,43,133943,79579,78278
1991,HARBOUR,KARUNANIDHI M.,W,DMK,M,30932,121040,64382,63564
1991,HARBOUR,SUPPU K.,N,INC,M,30042,121040,64382,63564
1991,HARBOUR,SUKUMAR M.T.,N,BJP,M,1763,121040,64382,63564
1991,HARBOUR,BALASUBRAMANIAM M.S.,N,JP,M,148,121040,64382,63564
1991,HARBOUR,HAMEEM,N,IND,M,122,121040,64382,63564
1991,HARBOUR,SEENI MOHAMED K.,N,IND,M,98,121040,64382,63564
1991,HARBOUR,BABU S.,N,IND,M,69,121040,64382,63564
1991,HARBOUR,KUPPUSAMY P.,N,IND,M,54,121040,64382,63564
1991,HARBOUR,JALALUDEEN M.,N,IND,M,52,121040,64382,63564
1991,HARBOUR,PANDIAN M.,N,IND,M,47,121040,64382,63564
1991,HARBOUR,VEERAPPA GOUNDER V.T.R.,N,IND,M,40,121040,64382,63564
1991,HARBOUR,RAJAMANNAR P.V.,N,IND,M,35,121040,64382,63564
1991,HARBOUR,PURUSHOTHAMAN R.,N,IND,M,33,121040,64382,63564
1991,HARBOUR,KUPPAN P.,N,IND,M,31,121040,64382,63564
1991,HARBOUR,SYED IBRAHIM,N,IND,M,29,121040,64382,63564
1991,HARBOUR,LAKSHIMPATHY C.,N,IND,M,25,121040,64382,63564
1991,HARBOUR,KOTEESWARAN P.V.,N,IND,M,18,121040,64382,63564
1991,HARBOUR,ANNAMALAI S.,N,IND,M,16,121040,64382,63564
1991,HARBOUR,PANNEERSELVAM M.,N,IND,M,10,121040,64382,63564
1991,DR. RADHAKRISHNAN NAGAR,MADHUSUDHNAN E.,W,ADMK,M,66710,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,RAJASEKARAN V.,N,JD,M,41758,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,GULAM HUSEIEN A.M.,N,MUL,M,941,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,JAGANATHAN V.R.,N,BJP,M,636,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,DIWAN AHMED A.,N,TMM,M,111,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,GANESH M.,N,IND,M,104,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,ANANDAN D.,N,IND,M,93,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,MAHAVEER B.,N,IND,M,89,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,ABDUL PABRIT P.,N,IND,M,67,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,NARAYANAN S.,N,IND,M,37,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,JAGADEESWARAN K.,N,IND,M,31,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,PALANI D.,N,IND,M,31,199052,113180,110639
1991,DR. RADHAKRISHNAN NAGAR,SHANMUGAM N.,N,IND,M,31,199052,113180,110639
1991,PARK TOWN,BALARAMAN U.,W,INC,M,37747,127309,69801,68571
1991,PARK TOWN,RAHMANKHAN A.,N,DMK,M,25912,127309,69801,68571
1991,PARK TOWN,KANTILAL C.,N,BJP,M,3507,127309,69801,68571
1991,PARK TOWN,ELUMALAI (CHOOLAI)P.,N,PMK,M,437,127309,69801,68571
1991,PARK TOWN,MEERANKHAN M.,N,JP,M,217,127309,69801,68571
1991,PARK TOWN,SELVARAJAN K.,N,IND,M,129,127309,69801,68571
1991,PARK TOWN,KANNAN M.,N,AMI,M,101,127309,69801,68571
1991,PARK TOWN,RADHAKRISHNAN R.,N,TMM,M,85,127309,69801,68571
1991,PARK TOWN,BALASUNDARAM G.R.,N,IND,M,78,127309,69801,68571
1991,PARK TOWN,RAVI D.,N,IND,M,64,127309,69801,68571
1991,PARK TOWN,SUDHAKAR M.,N,IND,M,62,127309,69801,68571
1991,PARK TOWN,KUPPUSAMY V.,N,IND,M,59,127309,69801,68571
1991,PARK TOWN,SIVASANKARAN M.,N,IND,M,39,127309,69801,68571
1991,PARK TOWN,MOHAMMED BILAL A.,N,IND,M,34,127309,69801,68571
1991,PARK TOWN,JAYASHREE S.,N,MPP,M,30,127309,69801,68571
1991,PARK TOWN,GOVINDASAMAY ALIAS JAGAJOTHI,N,IND,M,30,127309,69801,68571
1991,PARK TOWN,VENUGOPAL ALIAS VENU P.,N,IND,M,29,127309,69801,68571
1991,PARK TOWN,VARADADESIGAN S.A.,N,IND,M,11,127309,69801,68571
1991,PERAMBUR,DR. M. P. SEKAR,W,ADMK,M,62759,214067,118862,116088
1991,PERAMBUR,CHENGAI SIVAM,N,DMK,M,47307,214067,118862,116088
1991,PERAMBUR,V.K. SAMPATH,N,BJP,M,1960,214067,118862,116088
1991,PERAMBUR,TSPE BAKTHAN,N,JP,M,1588,214067,118862,116088
1991,PERAMBUR,D. KANAGASABAPATHY,N,TMUL,M,1383,214067,118862,116088
1991,PERAMBUR,I. VIJAYA,N,IND,F,440,214067,118862,116088
1991,PERAMBUR,G. MANIMARAN,N,TMM,M,135,214067,118862,116088
1991,PERAMBUR,S. M. VEERAPPAN,N,IND,M,115,214067,118862,116088
1991,PERAMBUR,M. A. KALIDOSS,N,IND,M,89,214067,118862,116088
1991,PERAMBUR,SUKUMAR ALIAS KANCHI SUKUMARAN,N,IND,M,81,214067,118862,116088
1991,PERAMBUR,S. PALANIAPPAN,N,IND,M,77,214067,118862,116088
1991,PERAMBUR,RAJENDRAN J. ALIAS REGENDRA PRASAD,N,IND,M,57,214067,118862,116088
1991,PERAMBUR,N. KANTHANATHAN,N,IND,M,53,214067,118862,116088
1991,PERAMBUR,K. SUNDARAMOORTHY,N,IND,M,44,214067,118862,116088
1991,PURASAWALKAM,RANGANATHAN B.,W,INC,M,71391,231735,129951,127992
1991,PURASAWALKAM,VEERASWAMY ARCOT N.,N,DMK,M,48559,231735,129951,127992
1991,PURASAWALKAM,MANIVANNAN R.,N,PMK,M,3656,231735,129951,127992
1991,PURASAWALKAM,SELVARAJ B.,N,BJP,M,3120,231735,129951,127992
1991,PURASAWALKAM,SAGUNTHALA B.,N,JP,F,243,231735,129951,127992
1991,PURASAWALKAM,ELANGO S.,N,IND,M,206,231735,129951,127992
1991,PURASAWALKAM,NAGMANI J.,N,BSP,F,134,231735,129951,127992
1991,PURASAWALKAM,MARTIN N.,N,IND,M,110,231735,129951,127992
1991,PURASAWALKAM,MUNIRAJ M.,N,MGMK,M,91,231735,129951,127992
1991,PURASAWALKAM, MURUGESAN A.,N,IND,M,86,231735,129951,127992
1991,PURASAWALKAM,NIRMALA S.,N,IND,F,76,231735,129951,127992
1991,PURASAWALKAM,ANANDAN D.,N,IND,M,72,231735,129951,127992
1991,PURASAWALKAM,PANNEERSELVA M. S.,N,IND,M,72,231735,129951,127992
1991,PURASAWALKAM,ARIVIDAI NAMBI N.,N,IND,M,64,231735,129951,127992
1991,PURASAWALKAM,SUNDARASEKARAN K.,N,IND,M,56,231735,129951,127992
1991,PURASAWALKAM,DHAYANITHI V.,N,IND,M,56,231735,129951,127992
1991,EGMORE,ELAMVAZHUTHI,W,DMK,M,23139,128272,46109,45849
1991,EGMORE,YASODHA D.,N,INC,F,21936,128272,46109,45849
1991,EGMORE,SIVAKUMAR,N,IND,M,276,128272,46109,45849
1991,EGMORE,VARADARAJAN AROKONAM MA.,N,JP,M,221,128272,46109,45849
1991,EGMORE,VENKATESAN ALIAS AMBET VENKATESH B,N,IND,M,154,128272,46109,45849
1991,EGMORE,SARATHA E.,N,IND,F,51,128272,46109,45849
1991,EGMORE,SUBRAMANI M.,N,IND,M,42,128272,46109,45849
1991,EGMORE,SARANGAPANI R.,N,IND,M,30,128272,46109,45849
1991,ANNA NAGAR,A. CHELLAKUMAR,W,INC,M,75512,262348,133530,131814
1991,ANNA NAGAR,S. M. RAMACHANDRAN,N,DMK,M,48214,262348,133530,131814
1991,ANNA NAGAR,S. P. RAMAKRISHNAN ALIAS RAMKI,N,BJP,M,4031,262348,133530,131814
1991,ANNA NAGAR,G. SELVAM ALIAS TAMIL SELVAM,N,PMK,M,2498,262348,133530,131814
1991,ANNA NAGAR,S.A. RAMAMURTHY,N,ICS(SCS),M,425,262348,133530,131814
1991,ANNA NAGAR,A. M. PAULRAJ VANIGAOTRUMAI,N,JP,M,272,262348,133530,131814
1991,ANNA NAGAR,R. NAGARAJAN,N,MPP,M,123,262348,133530,131814
1991,ANNA NAGAR,M. RAGARAJAN,N,TMM,M,101,262348,133530,131814
1991,ANNA NAGAR,P. JAYAPRAKASAM,N,IND,M,92,262348,133530,131814
1991,ANNA NAGAR,D. KANNAPPAN,N,IND,M,79,262348,133530,131814
1991,ANNA NAGAR,S. TATHINAKUMAR,N,IND,M,62,262348,133530,131814
1991,ANNA NAGAR,S. RAMACHANDRAN,N,IND,M,60,262348,133530,131814
1991,ANNA NAGAR,P. CHOCKALINGAM,N,IND,M,54,262348,133530,131814
1991,ANNA NAGAR,P. J. SELWYN,N,IND,M,52,262348,133530,131814
1991,ANNA NAGAR,K. SADANANDAM,N,AMI,M,48,262348,133530,131814
1991,ANNA NAGAR,S. SUBRAMANI,N,IND,M,44,262348,133530,131814
1991,ANNA NAGAR,G. PURUSOTHAMAM,N,IND,M,44,262348,133530,131814
1991,ANNA NAGAR,D. ANANDAN,N,IND,M,39,262348,133530,131814
1991,ANNA NAGAR,R. LALITHAKUMAR,N,IND,M,39,262348,133530,131814
1991,ANNA NAGAR,T. HARIKUMAR,N,IND,M,25,262348,133530,131814
1991,THEAGARAYA NAGAR,S. JAYAKUMAR,W,ADMK,M,64460,204830,106659,105341
1991,THEAGARAYA NAGAR,S.A. GANESAN,N,DMK,M,33147,204830,106659,105341
1991,THEAGARAYA NAGAR,R. DURAI,N,BJP,M,4479,204830,106659,105341
1991,THEAGARAYA NAGAR,KRISHNAMURTHY A. ALIAS A.K. MORTHY,N,PMK,M,2137,204830,106659,105341
