,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
0,1977,ROYAPURAM,P. PONNURANGAM,W,DMK,M,24217,141692,72868,72194,0.5142703892950907,N
1,1977,ROYAPURAM,M. RAJI,N,ADMK,M,22626,141692,72868,72194,0.5142703892950907,N
2,1977,ROYAPURAM,V. RAMANI BAI,N,JNP,F,17456,141692,72868,72194,0.5142703892950907,N
3,1977,ROYAPURAM,P. THANGARAJAN,N,INC,M,6742,141692,72868,72194,0.5142703892950907,N
4,1977,ROYAPURAM,K. SALAPPAN,N,IND,M,582,141692,72868,72194,0.5142703892950907,N
5,1977,ROYAPURAM,G. RAJARATHAM NAYAGAR,N,IND,M,248,141692,72868,72194,0.5142703892950907,N
6,1977,ROYAPURAM,R. RAMANTHAN,N,IND,M,172,141692,72868,72194,0.5142703892950907,N
7,1977,ROYAPURAM,S. CHITTIBABU,N,IND,M,151,141692,72868,72194,0.5142703892950907,N
8,1977,HARBOUR,A. SELVARAJAN,W,DMK,M,23845,150577,65557,64959,0.435371935953034,N
9,1977,HARBOUR,M.M. PEER MOHAMMED,N,IND,M,17862,150577,65557,64959,0.435371935953034,N
10,1977,HARBOUR,K.P. SHAIK TAHMBI,N,JNP,M,13002,150577,65557,64959,0.435371935953034,N
11,1977,HARBOUR,K. ARUMUGAM,N,INC,M,9500,150577,65557,64959,0.435371935953034,N
12,1977,HARBOUR,THANJAI SELVAM,N,IND,M,285,150577,65557,64959,0.435371935953034,N
13,1977,HARBOUR,T.R.V. THULASI DOSS,N,IND,M,183,150577,65557,64959,0.435371935953034,N
14,1977,HARBOUR,V.S. KANNAN,N,IND,M,138,150577,65557,64959,0.435371935953034,N
15,1977,HARBOUR,O.A. VARADA DESIGAN,N,IND,M,89,150577,65557,64959,0.435371935953034,N
16,1977,HARBOUR,B. MANAK CHAND NAHAR,N,IND,M,55,150577,65557,64959,0.435371935953034,N
17,1977,DR. RADHAKRISHNAN NAGAR,ISARI VELAN,W,ADMK,M,28416,178751,80748,79881,0.45173453575084893,N
17,1977,DR. RADHAKRISHNAN NAGAR,ISARI VELAN,W,ADMK,M,28416,178751,80748,79881,0.45173453575084893,W
18,1977,DR. RADHAKRISHNAN NAGAR,R.D. SEETHAPATHY,N,DMK,M,26928,178751,80748,79881,0.45173453575084893,W
19,1977,DR. RADHAKRISHNAN NAGAR,K. ARUMUGASWAMY,N,JNP,M,14449,178751,80748,79881,0.45173453575084893,W
20,1977,DR. RADHAKRISHNAN NAGAR,T.N. ANANDANAYAKI,N,INC,F,9876,178751,80748,79881,0.45173453575084893,N
21,1977,DR. RADHAKRISHNAN NAGAR,M.P. RAJENDRAN,N,IND,M,123,178751,80748,79881,0.45173453575084893,N
22,1977,DR. RADHAKRISHNAN NAGAR,MUNUSAMI NAICKER,N,IND,M,89,178751,80748,79881,0.45173453575084893,N
23,1977,PARK TOWN,T.S. NALLATHAMBI,W,DMK,M,22433,145578,69199,68426,0.47533968044622127,N
24,1977,PARK TOWN,N.G. BHUVANESHWARI,N,JNP,F,19207,145578,69199,68426,0.47533968044622127,N
25,1977,PARK TOWN,B. RAMABADHRAN,N,ADMK,M,18598,145578,69199,68426,0.47533968044622127,N
26,1977,PARK TOWN,A. KUPPUSWAMY,N,INC,M,7429,145578,69199,68426,0.47533968044622127,N
27,1977,PARK TOWN,C. GOVINDARAGULU ALIAS JAGAGOTHI,N,IND,M,393,145578,69199,68426,0.47533968044622127,N
28,1977,PARK TOWN,LIKMICHNAD SAKLECHA,N,IND,M,213,145578,69199,68426,0.47533968044622127,N
29,1977,PARK TOWN,M. ARPUTHRAJ,N,IND,M,153,145578,69199,68426,0.47533968044622127,N
29,1977,PARK TOWN,M. ARPUTHRAJ,N,IND,M,153,145578,69199,68426,0.47533968044622127,N
30,1977,PERAMBUR,S. BALAN,W,DMK,M,34134,184688,80705,79860,0.4369802044529152,N
30,1977,PERAMBUR,S. BALAN,W,DMK,M,34134,184688,80705,79860,0.4369802044529152,W
31,1977,PERAMBUR,T. RAJA,N,ADMK,M,20666,184688,80705,79860,0.4369802044529152,N
32,1977,PERAMBUR,T.P. ELUMALAI,N,JNP,M,16675,184688,80705,79860,0.4369802044529152,N
33,1977,PERAMBUR,V.M. PERUMAL,N,INC,M,8385,184688,80705,79860,0.4369802044529152,N
34,1977,PURASAWALKAM,K. ANBAZHAGAN,W,DMK,M,41073,203098,91943,91085,0.45270263616579187,N
34,1977,PURASAWALKAM,K. ANBAZHAGAN,W,DMK,M,41073,203098,91943,91085,0.45270263616579187,W
35,1977,PURASAWALKAM,T. S. GOVINDASWAMY,N,JNP,M,22004,203098,91943,91085,0.45270263616579187,W
35,1977,PURASAWALKAM,T. S. GOVINDASWAMY,N,JNP,M,22004,203098,91943,91085,0.45270263616579187,N
36,1977,PURASAWALKAM,P.A. VENKATESHWARALU,N,ADMK,M,19745,203098,91943,91085,0.45270263616579187,N
37,1977,PURASAWALKAM,R. DAKSHINAMOORTHY,N,CPI,M,7206,203098,91943,91085,0.45270263616579187,N
38,1977,PURASAWALKAM,H. STANLEY,N,IND,M,265,203098,91943,91085,0.45270263616579187,N
39,1977,PURASAWALKAM,RAJESEKHARAN,N,IND,M,248,203098,91943,91085,0.45270263616579187,N
40,1977,PURASAWALKAM,JAYARAM AYA BABU,N,IND,M,205,203098,91943,91085,0.45270263616579187,N
41,1977,PURASAWALKAM,R. SHAN MUGAM,N,IND,M,191,203098,91943,91085,0.45270263616579187,W
42,1977,PURASAWALKAM,K.N. SAMPATH NAIDU,N,IND,M,86,203098,91943,91085,0.45270263616579187,N
43,1977,PURASAWALKAM,K.C.G. VERGHESE,N,IND,M,62,203098,91943,91085,0.45270263616579187,N
44,1977,EGMORE,S.MANIMUDI,W,DMK,M,26746,141812,69887,69294,0.49281443037260597,N
44,1977,EGMORE,S.MANIMUDI,W,DMK,M,26746,141812,69887,69294,0.49281443037260597,W
45,1977,EGMORE,K. DEIVASIGAMANI,N,ADMK,M,19414,141812,69887,69294,0.49281443037260597,N
46,1977,EGMORE,SELVI D. SULOCHANA,N,JNP,F,16739,141812,69887,69294,0.49281443037260597,N
46,1977,EGMORE,SELVI D. SULOCHANA,N,JNP,F,16739,141812,69887,69294,0.49281443037260597,N
47,1977,EGMORE,D. YASODHA,N,INC,F,6395,141812,69887,69294,0.49281443037260597,W
48,1977,ANNA NAGAR,M. KARUNANIDHI,W,DMK,M,43076,178266,86717,85974,0.48644721932393165,N
49,1977,ANNA NAGAR,G. KRISHNAMURTHY,N,ADMK,M,26638,178266,86717,85974,0.48644721932393165,N
50,1977,ANNA NAGAR,T. ANDIAPPAN,N,JNP,M,10419,178266,86717,85974,0.48644721932393165,N
51,1977,ANNA NAGAR,R. JAYACHANDRAN,N,INC,M,5258,178266,86717,85974,0.48644721932393165,N
